ENTRY,AGL thermal conductivity,unit cell stoichiometry,unit cell IUPAC valence,relaxed bravais lattice,space group,Pearson symbol
Re8Zr4 [60fbc5ebb2614257],2.979,"0.666666667, 0.333333333",72,HEX,194 - P63/mmc,hP12
Re8Zr4 [572a8aac8b57ea56],2.83604,"0.666666667, 0.333333333",72,HEX,194 - P63/mmc,hP12
Rh1Sc1 [1da926caa9bd3298],15.2579,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Rh1Tb1 [d870e9cabb74da98],6.20747,"0.5, 0.5",10,CUB,221 - Pm3m,cP2
Rh1Ti2 [97205066b95a758f],21.9605,"0.333333333, 0.666666667",14,BCT,139 - I4/mmm,tI6
Rh1V1 [7b533fd83fed4188],12.4472,"0.5, 0.5",11,TET,123 - P4/mmm,tP2
Rh1Y1 [02f0db62eca4baea],8.35667,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Rh1Yb1 [7f89de06268eaf14],4.84541,"0.5, 0.5",9,CUB,221 - Pm3m,cP2
Rh1Zn1 [b8eac8765fab9bed],11.1235,"0.5, 0.5",8,CUB,221 - Pm3m,cP2
Rh1Zr1 [90e8a1a980d4201c],2.27039,"0.5, 0.5",10,CUB,221 - Pm3m,cP2
Rh2Sn4 [62eac962ca4e3508],2.05974,"0.333333333, 0.666666667",28,BCT,140 - I4/mcm,tI12
Rh2Th2 [9c9199f954dbc705],2.81029,"0.5, 0.5",20,ORCC,63 - Cmcm,oS8
Rh2V6 [622e7ac118e3c7e2],11.062,"0.25, 0.75",42,CUB,223 - Pm3n,cP8
Rh2Zr2 [993de049b5e0ba4d],4.00974,"0.5, 0.5",20,TET,123 - P4/mmm,tP2
Rh3Sc1 [ea4b129585b040c4],10.1346,"0.75, 0.25",21,CUB,221 - Pm3m,cP4
Rh3Ta1 [1cc19369e172f540],19.2166,"0.75, 0.25",23,CUB,221 - Pm3m,cP4
Rh3Th1 [0a51a21a7c15d877],3.94551,"0.75, 0.25",22,CUB,221 - Pm3m,cP4
Rh3Ti1 [2912c3468b1bd6b8],16.8462,"0.75, 0.25",22,CUB,221 - Pm3m,cP4
Rh3Zr1 [b6449ed4840e19f6],14.3826,"0.75, 0.25",22,CUB,221 - Pm3m,cP4
Rh4Sb12[024a718017fd90ef],2.2737,"0.25, 0.75",84,BCC,204 - Im3,cI32
Rh4Sb12[21bee00de5afd3ae],2.27515,"0.25, 0.75",84,BCC,204 - Im3,cI32
Rh4Sb12[10ec39f590da91f5],2.275,"0.25, 0.75",84,BCC,204 - Im3,cI32
Rh4Sb8 [07eac22977da80fe],3.04865,"0.333333333, 0.666666667",64,MCL,14 - P21/c,mP12
Rh4Sn4 [60a7909951f917c3],2.60165,"0.5, 0.5",40,CUB,198 - P213,cP8
Rh4Sn8 [5d0a01ae2cd2b5df],1.66802,"0.333333333, 0.666666667",56,ORCC,64 - Cmce,oS24
Rh4Sr2 [857911a2cae9158b],1.58432,"0.666666667, 0.333333333",28,FCC,227 - Fd3m,cF24
Rh4Tb2 [b82f8375e9a5a85b],4.8433,"0.666666667, 0.333333333",32,FCC,227 - Fd3m,cF24
Rh4Th2 [add359f117a4cf0d],1.42795,"0.666666667, 0.333333333",32,HEX,194 - P63/mmc,hP6
Rh4Y2 [7a298eeebc621ac3],5.36496,"0.666666667, 0.333333333",30,FCC,227 - Fd3m,cF24
Rh4Yb2 [774a6c367bec1ff8],3.82484,"0.666666667, 0.333333333",30,FCC,227 - Fd3m,cF24
Rh5Tb1 [d8d9d9338b770def],6.08832,"0.833333333, 0.166666667",34,HEX,191 - P6/mmm,hP6
Rh5Y1 [4238485784a072a0],6.61271,"0.833333333, 0.166666667",33,HEX,191 - P6/mmm,hP6
Rh6Th14[2b2d95be873f1248],1.177,"0.3, 0.7",92,HEX,186 - P63mc,hP20
Rh6W2 [ac0a35fb28a4318b],9.36741,"0.75, 0.25",48,HEX,194 - P63/mmc,hP8
Rh8Sb4 [d0b42c6f6671463c],1.8218,"0.666666667, 0.333333333",68,ORC,62 - Pnma,oP12
Rh8Sn4 [d7ede21cac9ab06a],1.50651,"0.666666667, 0.333333333",64,ORC,62 - Pnma,oP12
Ru1Sc1 [c33a14007399064d],12.6336,"0.5, 0.5",11,CUB,221 - Pm3m,cP2
Ru1Ta1 [5d73fe9948f76b16],7.8323,"0.5, 0.5",13,CUB,221 - Pm3m,cP2
Ru1Ti1 [80cba77e1024009d],37.9796,"0.5, 0.5",12,CUB,221 - Pm3m,cP2
Ru1V1 [2cd188952f1402e7],10.2948,"0.5, 0.5",13,CUB,221 - Pm3m,cP2
Ru1Zr1 [f22c703bcdb00e01],25.2833,"0.5, 0.5",12,CUB,221 - Pm3m,cP2
Ru2Sb4 [1e6b2269f602128e],7.82372,"0.333333333, 0.666666667",36,ORC,58 - Pnnm,oP6
Ru2Th2[3141991373b00bc5],3.37183,"0.5, 0.5",24,ORCC,63 - Cmcm,oS8
Ru3Ti1 [fc3eb727519852c9],14.91,"0.75, 0.25",28,CUB,221 - Pm3m,cP4
Ru3U1 [cd335767e53fce83],13.0296,"0.75, 0.25",30,CUB,221 - Pm3m,cP4
Ru3Zr1 [d00a3e343afa83f9],10.5979,"0.75, 0.25",28,CUB,221 - Pm3m,cP4
Ru4Sb4 [d0b1587a005afacc],5.17231,"0.5, 0.5",52,ORC,62 - Pnma,oP8
Ru4Tb10[c70b5b8d0aa26bf7],1.97065,"0.285714286, 0.714285714",72,MCLC,15 - C2/c,mS28
Ru4Tb12[b9e93482a01580e4],1.67669,"0.25, 0.75",80,ORC,62 - Pnma,oP16
Ru4Y12 [51b613f0e17f675e],2.54817,"0.25, 0.75",68,ORC,62 - Pnma,oP16
Ru6Sn14[e21d8a49f3e3304c],1.06825,"0.3, 0.7",104,BCC,229 - Im3m,cI40
Ru6Th14 [ebef2b4e8ec07bfd],1.25987,"0.3, 0.7",104,HEX,186 - P63mc,hP20
Ru8Sc4 [0685d1b08eca1734],1.16162,"0.666666667, 0.333333333",76,HEX,194 - P63/mmc,hP12
Ru8Sc4 [b9243fbc05f606f3],1.14613,"0.666666667, 0.333333333",76,HEX,194 - P63/mmc,hP12
Ru8Sn12[08394c3822dd81e4],2.20135,"0.4, 0.6",112,TET,116 - P4c2,tP20
Ru8Tb4 [af486e87565f5b74],0.455998,"0.666666667, 0.333333333",80,HEX,194 - P63/mmc,hP12
Ru8Zr4 [b1fff2a5c909906a],1.97565,"0.666666667, 0.333333333",80,HEX,194 - P63/mmc,hP12
Ru8Zr4 [7310443a9c6c574d],1.955,"0.666666667, 0.333333333",80,HEX,194 - P63/mmc,hP12
